ipa	syllabic	consonantal	approximant	sonorant	continuant	delayed_release	trill	tap	front	back	high	low	long	nasal	stress	tense	labial	coronal	dorsal	anterior	distributed	strident	lateral	round	labiodental	voice	spread glottis	constricted glottis	diphthong	front-diphthong	segment
ɴ	-	+	-	+	-	0	-	-	-	+	-	-	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ɲ	-	+	-	+	-	0	-	-	+	-	+	-	-	+	-	0	-	+	+	-	+	-	-	-	-	+	-	-	0	0	+
ɳ	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	-	+	-	-	-	-	-	-	-	+	-	-	0	0	+
n̥	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	-	+	-	+	-	-	-	-	-	-	-	-	0	0	+
ɴ̥	-	+	-	+	-	0	-	-	-	+	-	-	-	+	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
n̩	+	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	-	+	-	+	-	-	-	-	-	+	-	-	0	0	+
ɲ̥	-	+	-	+	-	0	-	-	+	-	+	-	-	+	-	0	-	+	+	-	+	-	-	-	-	-	-	-	0	0	+
ɳ̥	-	+	-	+	-	0	-	-	0	0	0	0	-	+	-	0	-	+	-	-	-	-	-	-	-	-	-	-	0	0	+
ŋ	-	+	-	+	-	0	-	-	0	0	+	-	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ŋ̟	-	+	-	+	-	0	-	-	+	-	+	-	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ŋ̠	-	+	-	+	-	0	-	-	-	+	+	-	-	+	-	0	-	-	+	0	0	0	-	-	-	+	-	-	0	0	+
ŋ̟̥	-	+	-	+	-	0	-	-	+	-	+	-	-	+	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
ŋ̠̥	-	+	-	+	-	0	-	-	-	+	+	-	-	+	-	0	-	-	+	0	0	0	-	-	-	-	-	-	0	0	+
