experiment,trial,item_type,form,meaning
12,13,trial,dogitsuka,OILY/HEAVY (food)
12,14,control,katai,HARD
12,15,control,pyoNpyoN,BOUNCING|HOPPING
12,16,control,hisohiso,WHISPERING
13,1,practice,yoroyoro,WOBBLING
13,2,practice,fuwafuwa,FLUFFY
13,3,trial,kibui,TIGHT|PINCHING
13,4,trial,zuruNzuruN,SLIMY|GOOEY
13,5,trial,kowa,SCARY|FRIGHTENING
13,6,trial,betabeta,STICKY|GOOEY
13,7,trial,syiNdo,EXHAUSTED|TIRED|WEARY
13,8,trial,yagurasyika,LOUD|NOISY
13,9,trial,kiNkiN,COLD|CHILLY
13,10,trial,ibii,SMOKY
13,11,trial,sabaku,TEAR|RIP
13,12,trial,koi,RICH (taste)|STRONG (taste)
13,13,trial,kamu,CHEW
13,14,control,katai,HARD
13,15,control,pyoNpyoN,BOUNCING|HOPPING
13,16,control,hisohiso,WHISPERING
14,1,practice,yoroyoro,WOBBLING
14,2,practice,fuwafuwa,FLUFFY
14,3,trial,nebutai,SLEEPY|DROWSY
14,4,trial,niyaniya,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach)
14,5,trial,syikasyika,ITCHING|PRICKLING
14,6,trial,yakamasyii,LOUD|NOISY
14,7,trial,zyiNzyiN,POUNDING (e.g. headache)|THROBBING (e.g. headache)
14,8,trial,zyitozyito,WET|SOGGY|DAMP
14,9,trial,setsunai,SAD|GLUM
14,10,trial,notaru,CRAWL|CREEP
14,11,trial,matsupoi,GLARING (light)|BLINDING (light)
14,12,trial,herakoi,CUNNING|SLY|SNEAKY
14,13,control,katai,HARD
14,14,control,pyoNpyoN,BOUNCING|HOPPING
14,15,control,hisohiso,WHISPERING
15,1,practice,yoroyoro,WOBBLING
15,2,practice,fuwafuwa,FLUFFY
15,3,trial,nureru,WET|SOGGY|DAMP
15,4,trial,hiyaQkoi,COOL|FRESH
15,5,trial,hoQkori,EXHAUSTED|TIRED|WEARY
15,6,trial,samisyii,SAD|GLUM
15,7,trial,nebaneba,SLIMY|SLIPPERY|SLICK
15,8,trial,yaQkiri,ANNOYED|IMPATIENT
15,9,trial,hadagu,RAP (at the door)|KNOCK (at the door)
15,10,trial,arai,ROUGH|GRITTY|COARSE
15,11,trial,tairana,FLAT|SMOOTH
15,12,trial,mawaru,ROLL|SPIN
15,13,control,katai,HARD
15,14,control,pyoNpyoN,BOUNCING|HOPPING
15,15,control,hisohiso,WHISPERING
16,1,practice,yoroyoro,WOBBLING
16,2,practice,fuwafuwa,FLUFFY
16,3,trial,urusai,LOUD|NOISY
16,4,trial,gutyugutyu,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid)
16,5,trial,netyanetya,STICKY|GOOEY
16,6,trial,syoQpee,SALTY|BRINY (taste)
16,7,trial,hotoru,HUMID|MUGGY
16,8,trial,mabusyii,GLARING (light)|BLINDING (light)|DAZZLING
16,9,trial,kaii,ITCHING|PRICKLING
16,10,trial,kitsuka,EXHAUSTED|TIRED|WEARY
16,11,trial,misuborasyii,SCRUFFY|TATTY|RAGGEDY
16,12,trial,kebutai,SMOKY
16,13,control,katai,HARD
16,14,control,pyoNpyoN,BOUNCING|HOPPING
16,15,control,hisohiso,WHISPERING
17,1,practice,yoroyoro,WOBBLING
17,2,practice,fuwafuwa,FLUFFY
17,3,trial,atsukamasyii,RUDE|ARROGANT|BRAZEN
